row1:
  group1: 8241160, 23.05.01, 25, , , , , СТС, , 
  group4: Основы российской государственности, УЛК-4, 204, , пр., СГН, доцент, Шайсултанова Э.М., УЛК-4 204, 
  group5: Аналитическая геометрия, УЛК-4, 217, , пр., Матем., ст.преп., Харасова Л.С., УЛК-4 217, 
  group6: Физическая культура и спорт, сп.комп, 24 к., , практ., ФВиС, , Латоша Г.В, сп.комп 24 к., 
  group7: Аналитическая геометрия, УЛК-4, 221, , пр., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group8: , , , , , , , ,  , 
  group9: , , , , , , , ,  , 
  group10: Информатика, УЛК-4, 205, , лаб., СТС, ст.преп., Мавляутдинова Г.Р. Парсин Г.А., УЛК-4 205, 
  group11: , , , , , , , ,  , 
  group12: История России (09.09, 23.09, 07.10), УЛК-1, 420, , лек., СГН, доцент, Бессонова Т.В., УЛК-1 420, 
  group13: История России (09.09, 23.09, 07.10), УЛК-1, 420, , лек., СГН, доцент, Бессонова Т.В., УЛК-1 420, 
  group14: История России (09.09, 23.09, 07.10), УЛК-1, 420, , лек., СГН, доцент, Бессонова Т.В., УЛК-1 420, 
  group15: Математический анализ (18.11), УЛК-3, 305, , пр., Матем., доцент, Антропова Г.Р., УЛК-3 305, 
  group16: Иностранный язык (1 подгр.), УЛК-3, 402, , пр., ИЯ, доцент, Чернова Н.А., УЛК-3 402, 
  group17: , , , , , , , ,  , 
  group18: , , , , , , , ,  , 
  group19: , , , , , , , ,  , 
  group20: , , , , , , , ,  , 
  group21: История России, УЛК-1, 406, , лек, СГН, ст. преп, Шпека И.И., УЛК-1 406, 
  group22: История России, УЛК-1, 406, , лек, СГН, ст. преп, Шпека И.И., УЛК-1 406, 
  group23: История России, УЛК-1, 406, , лек, СГН, ст. преп, Шпека И.И., УЛК-1 406, 
  group24: История России, УЛК-1, 406, , лек, СГН, ст. преп, Шпека И.И., УЛК-1 406, 
  group25: Введение в профессиональную деятельность, УЛК-2, 307, , лек(6ч)+пр(12ч), АиУ, доцент, Лукьянова А.В., УЛК-2 307, 
  group26: , , , , , , , ,  , 
  group27: Начертательная геометрия (1 подгруппа), УЛК-2, 331, , пр, МиК, доцент, Феоктистова Л.А., УЛК-2 331, 

row10:
  group1: , , , , , , , ,  , 
  group2: Основы российской государственности, УЛК-4, 204, , пр., СГН, доцент, Шайсултанова Э.М., УЛК-4 204, 
  group3: Математический анализ, УЛК-4, 223А, , пр., Матем., доцент, Зайцева Ж.И., УЛК-4 223А, 
  group4: Химия , УЛК-1, 143, , лаб., ХиЭ, доцент, Смирнова Н.Н., УЛК-1 143, 
  group5: Аналитическая геометрия (11.11), УЛК-4, 238, , пр., Матем., ст.преп., Харасова Л.С., УЛК-4 238, 
  group6: , , , , , , , ,  , 
  group7: , , , , , , , ,  , 
  group8: Аналитическая геометрия, УЛК-4, 221, , пр., Матем., ст.преп., Новикова А.Р., УЛК-4 221, 
  group9: Физическая культура и спорт, сп.комп, 24 к., , практ., ФВиС, , Латоша Г.В, сп.комп 24 к., 
  group10: Введение в профессиональную деятельность, УЛК-4, 235, , лек пр., СТС, доцент, Маврин В.Г. Бойко А.Д., УЛК-4 235, 
  group11: , , , , , , , ,  , 
  group12: История России, УЛК-1, 420, , пр., СГН, доцент, Бессонова Т.В., УЛК-1 420, 
  group13: , , , , , , , ,  , 
  group14: , , , , , , , ,  , 
  group15: , , , , , , , ,  , 
